Song Name,Guitar Tuning,Bass Tuning
"underpressure","0 0 0 0 0 0","0 0 0 0"
"underthebridge","0 0 0 0 0 0","0 0 0 0"
"unholyconfessions","-2 0 0 0 0 0","-2 0 0 0"
"upallnight","0 0 0 0 0 0","0 0 0 0"
"urgent","0 0 0 0 0 0","0 0 0 0"
"waitandbleed","-2 0 0 0 0 0","-2 0 0 0"
"walk","0 0 0 0 0 0","0 0 0 0"
"wearethechampions2","0 0 0 0 0 0","0 0 0 0"
"webelong","0 0 0 0 0 0","0 0 0 0"
"wereanamericanband","0 0 0 0 0 0","0 0 0 0"
"wewillrockyou2","0 0 0 0 0 0","0 0 0 0"
"whativedone2","0 0 0 0 0 0","0 0 0 0"
"whatsyourname","0 0 0 0 0 0","0 0 0 0"
"whenimgone","0 0 0 0 0 0","0 0 0 0"
"workingfortheweekend","0 0 0 0 0 0","0 0 0 0"
"yellow","0 0 0 0 0 -1","0 0 0 0"
"yougiveloveabadname2","0 0 0 0 0 0","0 0 0 0"
"ziggystardust","0 0 0 0 0 0","0 0 0 0"
